Background_Color	Foreground_Color	Font_Color	Font	Target
moccasin	brown	green	Courier New	0
beige	brown	brown	Arial	0
lemonchiffon	blue	blue	Arial	0
lemonchiffon	black	blue	Arial	0
aliceblue	brown	pink	Verdana	0
azure	blue	blue	Georgia	0
moccasin	brown	blue	Arial	0
ivory	brown	black	Verdana	0
floralwhite	black	black	Arial	0
aliceblue	brown	pink	Verdana	0
azure	brown	brown	Courier New	0
ivory	brown	black	Verdana	0
lavender	black	blue	Arial	0
aliceblue	blue	blue	Georgia	0
aliceblue	brown	red	Verdana	0
beige	blue	blue	Courier New	0
aliceblue	brown	gray	Verdana	0
ivory	brown	gray	Verdana	0
lemonchiffon	blue	blue	Arial	0
moccasin	brown	green	Helvetica	0
moccasin	brown	purple	Georgia	0
lavender	brown	black	Verdana	0
aliceblue	blue	blue	Georgia	0
aliceblue	brown	gray	Verdana	0
beige	brown	brown	Arial	0
lemonchiffon	blue	blue	Courier New	0
lavender	black	black	Arial	0
ivory	brown	red	Verdana	0
ivory	brown	gray	Verdana	0
aliceblue	brown	pink	Verdana	0
aliceblue	blue	blue	Verdana	0
aliceblue	blue	gray	Verdana	0
lavender	blue	blue	Arial	0
lemonchiffon	blue	blue	Arial	0
floralwhite	brown	blue	Arial	0
lavender	brown	blue	Verdana	0
aliceblue	blue	blue	Courier New	0
ivory	brown	black	Arial	0
moccasin	brown	red	Verdana	0
lemonchiffon	blue	blue	Arial	0
aliceblue	blue	blue	Georgia	0
azure	brown	gray	Courier New	0
ivory	brown	black	Verdana	0
lemonchiffon	blue	blue	Courier New	0
aliceblue	brown	pink	Verdana	0
lemonchiffon	blue	blue	Arial	0
beige	brown	brown	Courier New	0
lemonchiffon	blue	blue	Arial	0
beige	brown	brown	Courier New	0
ivory	brown	black	Verdana	0
azure	brown	brown	Georgia	0
aliceblue	brown	brown	Arial	0
aliceblue	brown	pink	Verdana	0
lavender	brown	gray	Verdana	0
aliceblue	blue	blue	Verdana	0
floralwhite	blue	blue	Arial	0
aliceblue	brown	blue	Georgia	0
lemonchiffon	blue	blue	Courier New	0
aliceblue	brown	purple	Verdana	0
moccasin	brown	brown	Georgia	0
aliceblue	brown	gray	Verdana	0
azure	brown	brown	Courier New	0
ivory	brown	green	Verdana	0
lemonchiffon	blue	blue	Georgia	0
azure	brown	pink	Verdana	0
aliceblue	blue	blue	Verdana	0
aliceblue	brown	blue	Arial	0
azure	brown	pink	Verdana	0
aliceblue	brown	pink	Verdana	0
lavender	brown	blue	Verdana	0
ivory	brown	gray	Verdana	0
lemonchiffon	blue	blue	Arial	0
aliceblue	blue	blue	Georgia	0
azure	brown	brown	Georgia	0
lavender	brown	green	Arial	0
aliceblue	brown	gray	Verdana	0
aliceblue	brown	blue	Verdana	0
ivory	brown	gray	Verdana	0
floralwhite	black	black	Arial	0
ivory	brown	gray	Verdana	0
aliceblue	brown	yellow	Verdana	0
ivory	brown	pink	Verdana	0
azure	blue	blue	Courier New	0
aliceblue	brown	blue	Arial	0
ivory	brown	brown	Verdana	0
azure	brown	pink	Verdana	0
lavender	brown	gray	Verdana	0
aliceblue	blue	blue	Arial	0
aliceblue	blue	blue	Verdana	0
ivory	brown	brown	Verdana	0
floralwhite	brown	black	Arial	0
lavender	blue	blue	Arial	0
azure	brown	brown	Courier New	0
lemonchiffon	blue	blue	Arial	0
aliceblue	brown	gray	Verdana	0
aliceblue	blue	blue	Courier New	0
moccasin	black	black	Arial	0
azure	brown	gray	Helvetica	0
moccasin	black	black	Arial	0
azure	blue	green	Verdana	0
aliceblue	brown	blue	Verdana	0
azure	brown	brown	Georgia	0
azure	blue	green	Courier New	0
ivory	brown	black	Verdana	0
aliceblue	blue	blue	Verdana	0
aliceblue	blue	blue	Arial	0
lemonchiffon	blue	blue	Arial	0
moccasin	brown	brown	Courier New	0
azure	yellow	brown	Courier New	0
aliceblue	brown	blue	Verdana	0
lavender	blue	blue	Verdana	0
moccasin	brown	red	Verdana	0
ivory	brown	black	Verdana	0
floralwhite	brown	purple	Verdana	0
lavender	brown	black	Arial	0
ivory	brown	green	Verdana	0
ivory	brown	red	Arial	0
azure	brown	pink	Verdana	0
lemonchiffon	blue	blue	Georgia	0
lemonchiffon	blue	blue	Arial	0
azure	brown	brown	Georgia	0
aliceblue	brown	gray	Verdana	0
azure	brown	red	Courier New	0
aliceblue	brown	blue	Georgia	0
aliceblue	brown	gray	Verdana	0
lemonchiffon	blue	blue	Georgia	0
azure	brown	brown	Courier New	0
azure	brown	brown	Courier New	0
moccasin	blue	blue	Georgia	0
ivory	brown	red	Verdana	0
moccasin	black	blue	Arial	0
beige	blue	blue	Courier New	0
aliceblue	brown	gray	Courier New	0
lemonchiffon	blue	blue	Arial	0
lemonchiffon	blue	blue	Georgia	0
lavender	brown	gray	Verdana	0
lemonchiffon	blue	blue	Arial	0
floralwhite	black	brown	Arial	0
lavender	brown	gray	Verdana	0
